cl_CMB_lensing cl_CIB correlated_cls ell
1.072604998887875e-06 4.157632862739886e-08 2.319785942316576e-08 125
1.3039308425133096e-06 3.689463637232244e-08 4.2334374125859203e-08 126
1.2016363231149276e-06 4.317573829968312e-08 3.0950185616528494e-08 127
1.131273976489044e-06 4.5059810313294366e-08 4.012721119034332e-08 128
1.3364113832025532e-06 4.22168886813714e-08 2.9034241911045928e-08 129
1.2425528601090346e-06 3.879772150796827e-08 9.359874822917211e-09 130
1.1293580269329726e-06 3.964188723541772e-08 2.51279335564615e-08 131
1.0881162469597689e-06 2.831397029521211e-08 2.8571224928731006e-08 132
1.3718512534135783e-06 3.365032825603067e-08 3.2989305795280385e-08 133
1.046155955472612e-06 3.143411083602184e-08 2.2049823148862714e-08 134
1.41345532129499e-06 3.922463586317998e-08 5.18817891718622e-08 135
1.2414710881238312e-06 3.312119132913801e-08 1.434085771377851e-08 136
1.0206427966354403e-06 3.7600360378827136e-08 2.8565984270860732e-08 137
1.2453238425808696e-06 3.4957441996028125e-08 3.110631447347296e-08 138
1.1871886279640044e-06 4.0294384501609225e-08 3.476383721597376e-08 139
1.2236626261480798e-06 3.3364778094362114e-08 3.800061405970574e-08 140
1.3241348298838166e-06 3.701989740924601e-08 2.9818952541925435e-08 141
1.3191900732590787e-06 3.731623601666008e-08 2.6153496643353914e-08 142
1.0965911488918942e-06 3.2875157217926214e-08 3.2604926410464565e-08 143
1.2630461271822344e-06 3.1459305653359154e-08 2.6798183062114767e-08 144
1.07831215876886e-06 3.3302743567198174e-08 2.6261469104701183e-08 145
1.3057101236318491e-06 3.4670663782547834e-08 5.1752840581036037e-08 146
1.0254572917211807e-06 3.41801446539239e-08 3.057036721100871e-08 147
1.2191376850684126e-06 3.2852182397889055e-08 3.2144749432140014e-08 148
1.009859339966412e-06 3.326927001552604e-08 3.296806128787394e-08 149
1.1437147970209314e-06 3.517888892389711e-08 2.906379316660434e-08 150
1.0563254244767955e-06 3.3780381949649647e-08 1.710903304947804e-08 151
1.1830129013874147e-06 3.152741514598408e-08 1.4827733255402403e-08 152
1.3268678438517588e-06 2.964052259589287e-08 2.0393713035864998e-08 153
1.2342719774844642e-06 2.69867192630827e-08 2.9253563074202814e-08 154
1.433558411734678e-06 3.341918148695968e-08 4.1333835296986594e-08 155
1.278182545303318e-06 3.014416291119815e-08 4.146700691789227e-09 156
1.2171290236367353e-06 3.194224202160759e-08 2.4221230150029754e-08 157
1.2147287213860023e-06 3.293014829829905e-08 1.9449864440401654e-08 158
1.2221298263572445e-06 3.0495929107694275e-08 1.5075578706156697e-08 159
1.4320663166525887e-06 3.12167101500541e-08 2.4950170648845012e-08 160
1.1965330124821636e-06 2.976798667302777e-08 2.534172172446986e-08 161
1.0645754912662543e-06 2.6911135231043786e-08 3.6809714135016824e-09 162
1.0400185950207225e-06 3.367065480287457e-08 1.711892438830785e-08 163
1.1706849005106916e-06 3.2638902697220606e-08 3.6667651779204606e-08 164
1.3208744047438642e-06 3.261035004365739e-08 2.200470925557369e-08 165
1.2895103779837334e-06 3.055683661632399e-08 1.816380006347556e-08 166
1.2092767042909596e-06 3.306505092348328e-08 3.787145590383447e-08 167
1.21189540495358e-06 2.9310518448381075e-08 9.451728300545353e-10 168
1.209139849442902e-06 3.136312641342543e-08 2.5440433036109293e-08 169
1.1799333490811918e-06 2.8000348624273593e-08 2.414549128030277e-08 170
1.2777806526143886e-06 2.5138528729874648e-08 2.2853606325898564e-08 171
1.3606950871342442e-06 2.821758515809292e-08 3.344814836078806e-08 172
1.209235196271966e-06 2.827405059079307e-08 1.1271195055699351e-08 173
1.18156378290726e-06 2.985144923314205e-08 1.3225821673353415e-08 174
1.2368581080178716e-06 2.843754473621288e-08 2.7804100119631457e-08 175
1.2371775735731913e-06 2.839626343990394e-08 3.144262336158128e-08 176
1.2301374501219893e-06 2.770506641596087e-08 2.7580848752775162e-08 177
1.2538144165178645e-06 3.115015175143803e-08 3.704181270707114e-08 178
1.3869500668400025e-06 2.7214644471383412e-08 5.087174703611881e-08 179
1.3069962043730567e-06 2.674763035774457e-08 3.0331760147058975e-08 180
1.3889051996887033e-06 2.7959788961632735e-08 5.423097160589694e-09 181
1.358183833702524e-06 2.795697599065226e-08 3.238739384536615e-08 182
1.2603219408384032e-06 3.012083954427257e-08 3.971623671838985e-08 183
1.0864553578974173e-06 2.8596614733920257e-08 -2.1542637513545317e-09 184
1.2433200782610579e-06 2.965442006859771e-08 2.042961094289465e-08 185
1.1084943847125237e-06 2.8603400174380162e-08 1.0941489862604141e-08 186
1.3422442915728023e-06 3.1586129040749326e-08 1.4498178385861507e-08 187
1.1950095519273268e-06 2.445521504092421e-08 2.146222950578002e-08 188
1.406319450194714e-06 2.8577330486638558e-08 3.2105225253872865e-08 189
